method	definition	setting	stratum	folds	pool	MR_mean	MR_sd	MRR_mean	MRR_sd	H@1_mean	H@1_sd	H@3_mean	H@3_sd	H@10_mean	H@10_sd	H@100_mean	H@100_sd	AUC_mean	AUC_sd
Lin-BMM	train_csv	raw	zero overlap	10	4399	1496.762127	119.711597	0.021101	0.004852	0.006792	0.003690	0.014201	0.005878	0.045398	0.012148	0.201114	0.029342	0.659899	0.027220
Lin-BMM	train_csv	raw	some overlap	10	4399	955.274798	65.034518	0.042874	0.012436	0.011792	0.008788	0.038499	0.018432	0.095680	0.021051	0.329173	0.017820	0.783021	0.014787
Lin-BMM	train_csv	raw	all	10	4399	1258.488100	80.699354	0.030668	0.004233	0.009007	0.002710	0.024877	0.006568	0.067452	0.009702	0.257358	0.016803	0.714077	0.018349
SimGIC	train_csv	calibrated	zero overlap	10	4399	1380.218194	96.125216	0.030869	0.006889	0.012093	0.005360	0.029184	0.006895	0.062334	0.015065	0.214498	0.033380	0.686399	0.021857
SimGIC	train_csv	calibrated	some overlap	10	4399	1211.497420	107.068866	0.031470	0.006608	0.010704	0.005646	0.030586	0.011469	0.062336	0.007723	0.242233	0.022389	0.724762	0.024345
SimGIC	train_csv	calibrated	all	10	4399	1306.046998	75.791450	0.031115	0.004822	0.011468	0.003427	0.029829	0.006775	0.062255	0.008735	0.226361	0.017742	0.703264	0.017233
SimGIC	train_csv	raw	zero overlap	10	4399	1487.877903	105.697696	0.028153	0.006831	0.011245	0.004985	0.024904	0.006465	0.057644	0.014002	0.206995	0.026359	0.661920	0.024033
SimGIC	train_csv	raw	some overlap	10	4399	1194.271879	98.316602	0.025971	0.005509	0.007220	0.004361	0.020938	0.008522	0.057170	0.010152	0.220761	0.023044	0.728679	0.022355
SimGIC	train_csv	raw	all	10	4399	1358.544690	88.730081	0.027128	0.003687	0.009429	0.002789	0.023071	0.003723	0.057333	0.006524	0.212836	0.020693	0.691327	0.020175
Exomiser-Phive	train_csv	calibrated	zero overlap	10	4399	1266.161715	82.537472	0.017173	0.005092	0.005970	0.003889	0.011721	0.006006	0.029205	0.011278	0.182651	0.018565	0.712332	0.018767
Exomiser-Phive	train_csv	calibrated	some overlap	10	4399	1089.346766	64.882368	0.010094	0.002245	0.000638	0.001346	0.004757	0.003463	0.015786	0.004644	0.175817	0.033866	0.752536	0.014753
Exomiser-Phive	train_csv	calibrated	all	10	4399	1188.555587	62.585662	0.014071	0.002475	0.003644	0.002013	0.008682	0.002924	0.023301	0.005986	0.179632	0.021917	0.729978	0.014230
Exomiser-Phive	train_csv	raw	zero overlap	10	4399	1497.632037	91.876085	0.024031	0.006410	0.009883	0.006080	0.020574	0.008065	0.042230	0.007378	0.179533	0.019331	0.659702	0.020890
Exomiser-Phive	train_csv	raw	some overlap	10	4399	985.765217	66.377528	0.035156	0.007269	0.011038	0.005158	0.031768	0.012230	0.075676	0.017893	0.279667	0.030720	0.776088	0.015093
Exomiser-Phive	train_csv	raw	all	10	4399	1272.079811	68.375201	0.028876	0.003865	0.010352	0.003032	0.025431	0.006079	0.056878	0.010035	0.223451	0.018360	0.710987	0.015547
ConvKB-D-pfs_owl2vecstar	train_csv	raw	zero overlap	10	4399	2495.755431	46.319363	0.002028	0.000573	0.000000	0.000000	0.000267	0.000843	0.002721	0.002599	0.033619	0.011063	0.432752	0.010532
ConvKB-D-pfs_owl2vecstar	train_csv	raw	some overlap	10	4399	592.997291	82.570140	0.067989	0.014910	0.032444	0.014518	0.064809	0.016819	0.131476	0.017707	0.388921	0.026614	0.865394	0.018774
